TicketId,SaleId,Quantity
1,1,2
1,362,7
1,1218,10
1,1840,5
1,2451,3
1,2976,10
1,3107,9
1,3477,10
1,3890,1
1,4121,10
1,4493,8
1,4631,4
1,4708,2
1,4751,4
1,5052,2
1,5120,2
1,5548,10
1,5893,1
1,5929,1
1,6341,1
2,124,6
2,2004,4
2,2371,2
2,2642,4
2,3193,10
2,3555,6
2,3622,4
2,3819,10
2,4235,9
2,5014,6
2,5236,4
2,6141,7
2,6192,5
2,6356,7
2,6616,8
2,6645,2
2,6661,1
2,6766,9
2,6789,8
2,6810,5
2,6855,10
2,6866,7
2,6874,6
2,6891,6
2,6904,5
2,6971,7
2,7125,3
2,7136,8
2,7145,4
2,7161,2
2,7226,1
2,7255,2
2,7292,5
2,7321,10
2,7385,4
3,2,2
3,664,10
3,706,1
3,1415,10
3,1603,6
3,1628,6
3,1753,5
3,2005,2
3,3407,8
3,5614,2
4,293,9
4,743,10
4,1007,9
4,1259,2
4,1396,7
4,1482,10
4,1932,7
4,1988,7
4,2102,10
4,2142,2
4,2143,5
4,2146,8
4,2999,3
4,3651,1
4,3904,7
4,4963,1
4,5286,1
4,6803,1
5,38,10
5,127,1
5,442,6
5,618,9
5,1851,2
5,1974,3
5,2663,6
5,3627,9
5,3963,5
5,4150,3
5,4165,1
5,4478,10
5,5225,2
5,5377,9
5,5816,3
5,6150,8
5,6279,9
5,6283,4
6,279,4
6,478,3
6,764,5
6,1028,9
6,1299,10
6,1808,8
6,2001,6
6,2092,2
6,2241,4
6,2310,1
6,2580,8
6,3178,3
6,3283,4
6,4551,6
6,4861,2
6,5121,10
6,5269,7
6,5369,3
6,5507,1
6,6024,1
6,6418,1
6,6785,1
6,7012,1
7,153,10
7,473,6
7,649,6
7,722,1
7,799,2
7,1119,6
7,1152,9
7,2090,7
7,2200,9
7,2205,2
7,2302,9
7,2674,8
7,3065,4
7,3546,3
7,3883,10
7,3946,4
7,4786,3
8,75,9
8,1300,4
8,1446,9
8,1481,3
8,3196,5
8,3636,3
8,3911,1
8,4358,6
8,4367,3
8,5110,9
8,6015,7
8,6335,7
8,6501,7
8,6621,4
8,6727,7
8,6751,6
8,6769,6
8,6901,4
9,47,6
9,185,2
9,259,9
9,1023,6
9,1716,7
9,1983,3
9,1987,3
9,2460,1
9,3040,8
9,3179,6
9,3230,9
9,3259,1
9,3912,4
9,3924,3
9,3972,3
9,4543,4
9,5562,6
9,5660,1
9,5712,5
9,6022,8
9,6104,3
9,6643,1
9,6896,1
10,173,6
10,940,7
10,953,4
10,1201,3
10,1697,4
10,1731,1
10,1903,1
10,2286,6
10,3254,2
10,3529,3
10,4047,3
10,4360,9
10,4384,3
10,4451,2
10,4801,7
10,5021,8
10,5094,7
10,5898,3
10,5903,4
10,6358,5
10,6371,9
10,6435,3
11,606,6
11,1377,10
11,1864,3
11,1991,9
11,2221,7
11,2432,7
11,2651,8
11,2756,6
11,3337,6
11,3405,9
11,3553,3
11,3656,6
11,3745,2
11,4120,3
11,4346,10
11,4969,1
11,4998,3
11,5907,1
12,454,7
12,767,1
12,824,5
12,1282,4
12,1564,2
12,2476,9
12,2862,8
12,3213,4
12,3253,5
12,3530,10
12,3738,9
12,4106,8
12,4326,6
12,4700,10
12,4759,5
12,4960,5
12,5855,2
13,25,5
13,620,8
13,1455,6
13,2532,7
13,2870,5
13,3108,2
13,3295,4
13,3509,7
13,3612,9
13,4043,8
13,4750,7
13,5029,3
13,5084,4
13,5624,6
13,5647,8
13,5919,10
13,6533,1
14,202,2
14,631,2
14,783,5
14,1240,6
14,2237,4
14,2771,7
14,3409,5
14,3562,8
14,3694,8
14,3702,2
14,4082,2
14,4201,10
14,4390,8
14,5001,3
